id,name,supplier_id,cost
1,Chocolate Bar - Smarties,24,1.25
2,Pepper - Red Bell,11,2.99
3,Chickensplit Half,5,0.17
4,Zucchini - Green,25,5.28
5,"Cod - Salted, Boneless",26,0.78
6,Flower - Dish Garden,5,0.37
7,"Beef - Rouladin, Sliced",5,1.55
8,"Cheese - Brie, Cups 125g",7,1.49
9,Clam - Cherrystone,14,2.33
10,Coffee Cup 8oz 5338cd,3,0.1
11,Sprouts - Alfalfa,18,0.88
12,Flour - Semolina,12,2.3
13,Flour - Semolina,18,2.94
14,Monkfish - Fresh,2,1.22
15,Monkfish - Fresh,12,3.26
16,Pepper - Green Thai,26,1.52
17,Pepper - Green Thai,32,1.78
18,Oranges,6,5.76
19,Oranges,16,1.55
20,"Beef - Tenderlion, Center Cut",25,1.05
21,"Octopus - Baby, Cleaned",27,0.34
22,Rootbeer,15,1.03
23,Water - Tonic,22,0.14
24,Longos - Chicken Caeser Salad,2,0.06
25,Longos - Chicken Caeser Salad,18,3.87
26,Longos - Chicken Caeser Salad,24,2.19
27,Hummus - Spread,8,2.45
28,Curry Powder,20,2.5
29,Curry Powder,26,1.56
30,"Bread - Crumbs, Bulk",16,0.43
31,Lamb - Loin Chops,33,1.79
32,Coffee Cup 16oz Foam,11,4.83
33,Coffee Cup 16oz Foam,13,2.51
34,Muskox - French Rack,29,0.59
35,Soup - Campbells Asian Noodle,33,1.04
36,Soup - Campbells Asian Noodle,34,0.35
37,Soup - Base Broth Beef,35,2.51
38,Cake - Lemon Chiffon,9,2.2
39,Onions - Red Pearl,2,0.96
40,Green Tea Refresher,8,2.54
41,"Rum - Coconut, Malibu",2,1.84
42,Bagel - Everything,8,2.27
43,Trueblue - Blueberry 12x473ml,17,2.22
44,Cheese - St. Andre,6,0.54
45,Cheese - St. Andre,11,2.42
46,Wine - Mondavi Coastal Private,24,0.88
47,Rice Wine - Aji Mirin,15,1.23
48,"Vodka - Hot, Lnferno",27,7.08
49,Tarragon - Fresh,9,4.23
50,Lobster - Cooked,17,0.79
51,Lobster - Cooked,25,7.03
52,Crackers Cheez It,16,1.61
53,Pomello,21,1.36
54,Rabbit - Whole,6,3.2
55,Rabbit - Whole,22,2.15
56,Wine - Vovray Sec Domaine Huet,31,2.01
57,Appetizer - Escargot Puff,8,0.94
58,Mustard Prepared,28,0.53
59,Wine - Penfolds Koonuga Hill,18,2.18
60,"Sparkling Wine - Rose, Freixenet",21,6.05
61,"Sparkling Wine - Rose, Freixenet",29,3.36
62,"Arctic Char - Fresh, Whole",30,2.25
63,Cilantro / Coriander - Fresh,7,2.56
64,Ecolab - Solid Fusion,24,3.99
65,Ecolab - Solid Fusion,31,1.51
66,Spinach - Frozen,29,0.6
67,Potatoes - Mini White 3 Oz,3,1.21
68,Beets - Mini Golden,11,1.76
69,"Lemonade - Strawberry, 591 Ml",17,0.58
70,"Lemonade - Strawberry, 591 Ml",27,1.81
71,"Lemonade - Strawberry, 591 Ml",31,1.56
72,"Rum - Cream, Amarula",8,2.52
73,Bulgar,27,3.48
74,"Pasta - Orzo, Dry",20,1.31
75,"Pasta - Orzo, Dry",28,0.28
76,Tea - Lemon Scented,22,1.04
77,Peppercorns - Pink,21,6.38
78,Sauce - Vodka Blush,13,1.3
79,Sauce - Vodka Blush,28,2.27
80,Sauce - Vodka Blush,34,7.37
81,"Appetizer - Mini Egg Roll, Shrimp",8,1.76
82,"Appetizer - Mini Egg Roll, Shrimp",35,2.13
83,Cheese - Fontina,5,0.27
84,Cattail Hearts,26,5.49
85,Napkin White - Starched,33,1.65
86,Pork - Ham Hocks - Smoked,17,2.97
87,"Lamb - Whole Head Off,nz",4,0.51
88,"Lamb - Whole Head Off,nz",20,2.24
89,Filo Dough,5,3.24
90,Jerusalem Artichoke,21,0.16
91,Jerusalem Artichoke,31,1.38
92,Cookie Dough - Chunky,30,4.04
93,Wine - Semi Dry Riesling Vineland,22,1.86
94,Spice - Pepper Portions,32,2.1
